연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
336,새우젓호박국,48.98,0.37,63.16,0.06,0.12,0.48,8.34,37.6,1.38
337,쇠고기국,82.22,0.94,8.38,0.07,0.18,3.05,6.69,38.92,0.03
338,쇠고기두부국,108.3,1.15,78.21,0.07,0.11,1.99,8.01,11.14,0.58
339,쇠고기무국,70.56,0.58,45.44,0.04,0.07,1.45,10.5,7.9,0.64
340,쇠고기콩나물국,73.19,0.72,25.7,0.06,0.09,1.5,7.42,6.58,1.03
341,어묵국,113.08,0.36,9.83,0.04,0.04,0.97,7.51,22.98,0.87
342,오징어국,77.58,0.93,168.17,0.06,0.09,2.14,8.76,20.1,1.82
343,오징어무국,61.52,0.76,130.97,0.05,0.08,2.01,10.79,13.78,1.66
344,유부국,90.6,0.76,18.62,0.04,0.06,1.28,8.98,9.02,1.26
345,조개국,69.93,0.63,42.32,0.03,0.03,0.79,11.48,11.24,1.47
346,조개살두부국,71.05,0.79,4.41,0.04,0.04,1.08,3.59,13.85,1.11
347,조개살배추국,68.49,0.65,88.62,0.04,0.05,1.16,22.31,43.2,0.79
348,참치김치국,33.3,0.19,30.46,0.05,0.07,2.63,8.1,24.38,0.41
349,참치미역국,62.94,0.43,6.02,0.03,0.09,2.92,1.5,65.35,2.23
350,콩나물국,43.23,0.38,5.31,0.05,0.06,0.73,4.99,5.21,1.33
351,콩나물무채국,24.55,0.3,14.99,0.04,0.05,0.72,8.51,6.07,0.51
352,토란국,67.21,3.13,10.15,0.07,0.06,1.67,10.33,38.13,0.61
353,표고버섯북어국,124.77,0.49,58.46,0.13,0.21,2.66,8.34,23.06,1.15
354,호박새우젓국,34.55,0.36,56.71,0.05,0.12,0.51,6.49,36.93,0.85
355,홍합무국,55.84,0.63,8.86,0.02,0.09,0.94,6.84,10.26,1.41
356,홍합미역국,60.54,0.89,3.61,0.03,0.14,1.27,2.13,70.55,1.83
357,감자고비된장국,86.15,0.7,21.48,0.07,0.07,1.43,12.44,22.78,1.34
358,감자된장국,72.12,0.45,6.46,0.07,0.04,1.58,14.54,16.27,0.33
359,감자두부된장국,99.35,0.81,9.86,0.08,0.07,1.49,15.64,23.18,0.65
360,건새우아욱국,77.96,1.26,932.53,0.12,0.19,1.65,39.54,96.16,1.41
361,근대된장국,44.01,0.51,362.81,0.05,0.11,0.95,12.73,16.28,1.67
362,근대조개국,57.6,0.69,310.11,0.05,0.1,0.83,10.59,17.3,1.8
363,꽃게된장국,139.6,1.35,35.72,0.08,0.26,3.54,14.43,32.88,2.05
364,냉이된장국,78.3,0.69,125.08,0.14,0.23,1.77,44.49,21.38,0.66
365,단배추된장국,83.51,0.81,24.58,0.07,0.1,2.13,24.09,42.11,0.39
366,달래된장국,73.21,0.52,259.58,0.1,0.14,1.42,29.8,16.79,0.62
367,두부된장국,99.5,0.77,40.58,0.07,0.07,1.53,7.04,28.49,1.06
368,시금치조개국,68.39,0.95,441.59,0.11,0.31,1.39,42.9,113.03,2.86
369,무된장국,48.93,0.27,28.41,0.04,0.04,1.12,11.89,12.91,0.35
370,미역된장국,52.87,0.54,12.19,0.03,0.09,1.59,2.55,71.24,0.87
371,바지락냉이토장국,63.11,0.68,157.76,0.14,0.28,1.58,52.77,21.88,0.4
372,배추된장국,49.66,0.41,9.22,0.04,0.05,1.31,23.86,40.06,0.5
373,솎음배추국,51.81,0.35,74.11,0.05,0.06,1.57,24.77,39.99,0.5
374,시금치된장국,44.55,0.36,319.18,0.08,0.2,0.83,30.83,80.12,1.76
375,시래기된장국,49.9,0.4,156.27,0.04,0.07,1.16,34.83,19.67,0.9
376,쑥국,52.8,0.47,149.61,0.06,0.09,1.23,8.89,74.7,1.2
377,아욱국,57.28,0.61,818.23,0.1,0.16,1.77,34.74,84.96,1.18
378,열무감자국,59.23,0.4,64.86,0.08,0.11,1.59,25.33,15,0.51
379,열무두부국,71.06,0.56,63.26,0.07,0.1,1.55,17.64,15.65,0.77
380,왜된장국,68.95,0.93,6.01,0.03,0.04,0.48,1.29,11.97,0.5
381,우거지국,63.39,0.63,11.37,0.05,0.06,1.39,15.64,65.25,0.36
382,재치조개국,95.61,1.33,38.58,0.07,0.15,1.8,1.84,25.54,1.51
383,조개된장국,73.75,0.59,59.38,0.07,0.14,1.09,11.51,38.87,0.91
384,콩나물된장국,49.79,0.45,4.09,0.06,0.08,0.98,4.9,16.38,0.85
385,해물된장국,110.55,1.6,44.42,0.05,0.15,2.3,4.95,29.49,2.47
386,호박달래찌개,88.43,0.66,85.12,0.08,0.11,1.17,15.88,31.02,0.88
387,호박된장찌개,116.56,0.88,69.01,0.12,0.19,2.43,17.14,59.77,1.41
388,호박잎된장국,55.62,0.4,264.02,0.09,0.15,1.47,15.5,53,0.85
389,홍합우거지국,49.94,0.52,7.82,0.04,0.08,1.06,21.1,41.03,0.55
390,갈비탕,354.23,4.5,49.73,0.13,0.31,7.08,11.38,13.81,0.18
391,감자탕,175.98,1.35,82.66,0.37,0.16,4.16,18.44,17.95,0.45
392,곰갈비탕,389.93,4.63,30.13,0.15,0.33,7.13,5.48,16.55,0.03
393,곰탕,186.5,1.72,23.82,0.1,0.18,3.47,6.78,11.31,0.02
394,꼬리곰탕,238.53,3.96,21.23,0.08,0.14,4.46,2.68,6.26,0.03
395,꽃게탕,120.01,1.27,97.44,0.08,0.24,3.56,11.44,22.41,1.73
396,내장탕,173.55,2.55,218.83,0.1,0.21,3.2,23.33,37.92,0.58
397,닭계장,168.31,1.77,149.12,0.16,0.23,5.57,11.58,47.35,0.67
398,닭곰탕,129.11,1.5,45.94,0.1,0.11,4.8,10.58,10.62,0.02
399,닭무국,122.01,1.43,42.69,0.09,0.11,4.56,10.03,10.54,0.02
400,닭백숙,315.51,2.34,50.69,0.17,0.18,6.57,7.85,10.32,0.07
